symbol,open,high,low,ltP,ptsC,per,trdVol,trdVolM,ntP,mVal,wkhi,wklo,wkhicm_adj,wklocm_adj,xDt,cAct,previousClose,dayEndClose,iislPtsChange,iislPercChange,yPC,mPC
FDC,253.90,258.10,252.60,257.60,1.40,0.55,0.24,0.02,0.61,0.01,318.00,225.00,170.70,100.80,31-DEC-2999,-,256.20,-,1.40,0.55,-1.21,-5.71
SUPRAJIT,354.60,359.20,353.00,356.05,1.95,0.55,0.39,0.04,1.39,0.01,398.40,299.00,134.90,38.60,23-FEB-2023,INTERIM DIVIDEND - RS 1.05 PER SHARE,354.10,-,1.95,0.55,7.63,1.67
MSUMI,47.50,48.15,47.10,47.95,0.25,0.52,6.91,0.69,3.30,0.03,71.15,40.00,.00,.00,31-DEC-2999,-,47.70,-,0.25,0.52,-,-
SUPREMEIND,"2,540.15","2,565.00","2,520.10","2,553.10",12.95,0.51,0.16,0.02,4.02,0.04,"2,855.30","1,666.25",688.50,385.20,31-DEC-2999,-,"2,540.15",-,12.95,0.51,26.54,-7.38
CCL,559.30,564.00,555.00,559.20,2.70,0.49,0.15,0.02,0.85,0.01,593.00,315.20,158.00,31.55,31-JAN-2023,INTERIM DIVIDEND - RS 3 PER SHARE,556.50,-,2.70,0.49,38.85,4.49
DELHIVERY,325.00,328.40,324.05,327.30,1.60,0.49,2.26,0.23,7.38,0.07,708.00,291.00,.00,.00,31-DEC-2999,-,325.70,-,1.60,0.49,-,-
MRF,"84,448.95","84,599.90","83,900.00","84,561.40",396.75,0.47,0.01,0.00,10.11,0.10,"96,000.00","64,701.45","33,980.00","17,070.00",21-FEB-2023,INTERIM DIVIDEND - RS 3 PER SHARE,"84,164.65",-,396.75,0.47,26.50,-6.00
GARFIBRES,"2,765.20","2,816.90","2,765.20","2,801.45",12.95,0.46,0.02,0.00,0.59,0.01,"3,754.85","2,662.25",187.25,51.05,31-DEC-2999,-,"2,788.50",-,12.95,0.46,4.03,-4.89
PAGEIND,"37,516.35","37,750.00","37,303.00","37,683.30",166.95,0.45,0.05,0.00,17.40,0.17,"54,349.10","35,575.00","10,390.00","5,010.00",17-FEB-2023,INTERIM DIVIDEND - RS 60 PER SHARE,"37,516.35",-,166.95,0.45,-10.33,-2.50
IPCALAB,781.10,788.50,781.10,787.95,3.55,0.45,0.15,0.01,1.16,0.01,"1,095.00",767.50,906.85,630.00,31-DEC-2999,-,784.40,-,3.55,0.45,-20.51,-3.15
SUNDARMFIN,"2,279.85","2,303.30","2,267.00","2,284.00",9.85,0.43,0.14,0.01,3.18,0.03,"2,530.90","1,555.00","1,400.00",486.95,17-FEB-2023,INTERIM DIVIDEND - RS 12 PER SHARE,"2,274.15",-,9.85,0.43,22.03,-2.37
ABFRL,211.00,212.75,209.55,212.15,0.90,0.43,9.68,0.97,20.44,0.20,356.20,209.35,144.90,75.05,31-DEC-2999,-,211.25,-,0.90,0.43,-26.73,-13.97
SUVENPHAR,471.10,474.15,471.05,473.80,2.00,0.42,0.22,0.02,1.02,0.01,631.75,390.50,.00,.00,31-DEC-2999,-,471.80,-,2.00,0.42,-19.69,-1.57
HINDZINC,324.00,324.00,320.30,321.60,1.35,0.42,12.45,1.25,40.10,0.40,383.00,242.05,184.00,114.80,31-DEC-2999,-,320.25,-,1.35,0.42,3.41,-0.03
HAPPSTMNDS,806.00,818.10,804.60,807.95,3.40,0.42,0.89,0.09,7.23,0.07,"1,179.40",785.60,.00,.00,31-DEC-2999,-,804.55,-,3.40,0.42,-29.31,-11.02
SCHAEFFLER,"2,745.00","2,778.20","2,742.95","2,765.00",11.40,0.41,0.10,0.01,2.89,0.03,"3,969.85","1,840.85",.00,.00,31-DEC-2999,-,"2,753.60",-,11.40,0.41,48.02,-7.51
AIAENG,"2,823.35","2,846.75","2,803.90","2,835.00",11.65,0.41,0.15,0.02,4.34,0.04,"2,911.25","1,581.20","1,238.00",405.05,31-DEC-2999,-,"2,823.35",-,11.65,0.41,65.98,3.91
IGL,440.95,444.30,438.30,440.80,1.80,0.41,8.65,0.86,38.19,0.38,455.00,335.35,458.80,238.05,07-FEB-2023,INTERIM DIVIDEND - RS 3 PER SHARE,439.00,-,1.80,0.41,17.91,0.86
