symbol,open,high,low,ltP,ptsC,per,trdVol,trdVolM,ntP,mVal,wkhi,wklo,wkhicm_adj,wklocm_adj,xDt,cAct,previousClose,dayEndClose,iislPtsChange,iislPercChange,yPC,mPC
ASTRAZEN,"3,325.25","3,349.00","3,317.00","3,340.70",1.95,0.06,0.01,0.00,0.38,0.00,"3,620.00","2,445.70","1,286.00",725.20,31-DEC-2999,-,"3,338.75",-,1.95,0.06,27.93,0.30
LUXIND,"1,263.00","1,271.25","1,252.00","1,261.00",0.30,0.02,0.07,0.01,0.87,0.01,"2,629.10","1,249.90",.00,.00,31-DEC-2999,-,"1,260.70",-,0.30,0.02,-44.87,-7.99
ASTERDM,240.00,241.10,237.10,239.55,0.00,0.00,0.60,0.06,1.45,0.01,275.60,162.60,.00,.00,31-DEC-2999,-,239.55,-,0.00,0.00,39.92,4.20
CREDITACC,927.05,944.65,927.05,935.00,0.00,0.00,0.11,0.01,1.05,0.01,"1,154.00",776.50,.00,.00,31-DEC-2999,-,935.00,-,0.00,0.00,16.59,-5.40
KALPATPOWR,564.00,564.00,557.00,559.45,-0.10,-0.02,0.28,0.03,1.57,0.02,597.00,331.80,198.75,70.75,31-DEC-2999,-,559.55,-,-0.10,-0.02,50.57,10.63
NUVOCO,335.90,336.90,331.55,332.55,-0.10,-0.03,0.13,0.01,0.44,0.00,475.00,260.25,.00,.00,31-DEC-2999,-,332.65,-,-0.10,-0.03,-14.51,-9.18
PNCINFRA,284.35,286.40,282.80,284.20,-0.10,-0.04,0.51,0.05,1.46,0.01,352.00,219.00,.00,.00,31-DEC-2999,-,284.30,-,-0.10,-0.04,14.07,-7.94
PRIVISCL,"1,046.90","1,057.00","1,026.00","1,043.25",-0.70,-0.07,0.09,0.01,0.89,0.01,"2,199.90",871.05,.00,.00,31-DEC-2999,-,"1,043.95",-,-0.70,-0.07,-45.21,6.85
ROSSARI,600.65,600.65,590.20,597.15,-0.55,-0.09,0.13,0.01,0.75,0.01,"1,052.85",536.35,.00,.00,31-DEC-2999,-,597.70,-,-0.55,-0.09,-35.80,-11.68
BRIGADE,459.00,464.45,459.00,462.50,-0.50,-0.11,0.10,0.01,0.45,0.00,585.00,376.15,161.00,54.10,31-DEC-2999,-,463.00,-,-0.50,-0.11,-9.58,-4.02
ZYDUSWELL,"1,474.95","1,474.95","1,469.05","1,469.50",-1.55,-0.11,0.02,0.00,0.37,0.00,"1,814.00","1,370.10",749.00,435.00,31-DEC-2999,-,"1,471.05",-,-1.55,-0.11,-0.07,0.49
IDBI,47.15,47.35,46.80,47.10,-0.05,-0.11,14.38,1.44,6.77,0.07,62.00,30.50,116.40,52.90,31-DEC-2999,-,47.15,-,-0.05,-0.11,5.13,-6.27
GLENMARK,433.05,444.95,429.75,436.20,-0.55,-0.13,4.83,0.48,20.99,0.21,487.55,348.50,841.00,493.00,31-DEC-2999,-,436.75,-,-0.55,-0.13,-3.87,0.14
EIHOTEL,158.80,159.45,157.15,157.80,-0.20,-0.13,0.61,0.06,0.97,0.01,205.50,120.25,115.25,53.00,31-DEC-2999,-,158.00,-,-0.20,-0.13,14.06,-2.44
SHYAMMETL,275.20,277.65,274.25,275.60,-0.35,-0.13,0.78,0.08,2.17,0.02,385.50,263.00,.00,.00,31-DEC-2999,-,275.95,-,-0.35,-0.13,-23.79,-4.59
FSL,110.65,112.00,110.10,110.50,-0.15,-0.14,5.99,0.60,6.67,0.07,140.00,93.00,44.35,19.40,17-FEB-2023,INTERIM DIVIDEND - RS  3.50 PER SHARE,110.65,-,-0.15,-0.14,-12.16,-6.40
RALLIS,197.65,199.00,196.60,198.00,-0.30,-0.15,0.50,0.05,0.98,0.01,289.35,182.50,254.80,150.60,31-DEC-2999,-,198.30,-,-0.30,-0.15,-18.79,-4.16
POLYMED,956.00,970.45,955.40,961.80,-1.55,-0.16,0.07,0.01,0.69,0.01,"1,045.00",651.10,974.30,303.50,31-DEC-2999,-,963.35,-,-1.55,-0.16,16.95,2.44
SJVN,31.00,31.00,30.60,30.90,-0.05,-0.16,4.88,0.49,1.51,0.02,42.35,25.45,27.55,19.90,17-FEB-2023,INTERIM DIVIDEND - RS  1.15 PER SHARE,30.95,-,-0.05,-0.16,12.36,0.16
BORORENEW,436.90,441.50,434.55,436.50,-0.80,-0.18,0.50,0.05,2.17,0.02,833.35,434.00,.00,.00,31-DEC-2999,-,437.30,-,-0.80,-0.18,-27.44,-3.57
TTKPRESTIG,695.00,697.55,686.00,691.55,-1.35,-0.19,0.25,0.02,1.71,0.02,"1,049.90",666.00,"4,832.00","2,693.00",31-DEC-2999,-,692.90,-,-1.35,-0.19,-18.05,-7.22
PVR,"1,552.00","1,554.75","1,524.00","1,545.25",-3.20,-0.21,0.80,0.08,12.32,0.12,"2,214.85","1,483.00",749.00,465.00,31-DEC-2999,-,"1,548.45",-,-3.20,-0.21,-12.04,-6.59
GNFC,526.60,531.50,521.65,524.55,-1.10,-0.21,2.27,0.23,11.94,0.12,912.00,499.40,113.95,63.75,31-DEC-2999,-,525.65,-,-1.10,-0.21,-32.48,-4.32
APTUS,246.00,246.10,243.00,244.20,-0.55,-0.22,0.40,0.04,0.96,0.01,368.00,220.10,.00,.00,31-DEC-2999,-,244.75,-,-0.55,-0.22,-27.10,-4.78
KIMS,"1,328.00","1,328.40","1,310.30","1,318.40",-3.00,-0.23,0.15,0.02,2.03,0.02,"1,668.40","1,113.25",.00,.00,31-DEC-2999,-,"1,321.40",-,-3.00,-0.23,-2.35,-5.82
RATNAMANI,"2,064.00","2,089.15","2,042.50","2,079.85",-4.70,-0.23,0.09,0.01,1.76,0.02,"2,437.00","1,408.13",619.00,125.10,31-DEC-2999,-,"2,084.55",-,-4.70,-0.23,-14.92,-5.67
DELTACORP,188.00,190.95,187.35,188.50,-0.50,-0.26,6.77,0.68,12.81,0.13,339.70,162.10,127.70,77.00,31-DEC-2999,-,189.00,-,-0.50,-0.26,-38.43,-2.00
VIPIND,577.05,578.30,569.45,575.00,-1.55,-0.27,0.59,0.06,3.37,0.03,774.60,505.65,125.90,55.00,02-FEB-2023,INTERIM DIVIDEND - RS 2 PER SHARE,576.55,-,-1.55,-0.27,-10.48,-12.96
GOCOLORS,930.35,950.00,930.35,932.75,-2.60,-0.28,0.04,0.00,0.41,0.00,"1,445.00",874.00,.00,.00,31-DEC-2999,-,935.35,-,-2.60,-0.28,-4.20,-5.24
HEG,957.90,959.85,951.50,953.55,-3.10,-0.32,0.24,0.02,2.30,0.02,"1,475.00",890.80,351.25,178.00,31-DEC-2999,-,956.65,-,-3.10,-0.32,-26.57,-2.97
